"ID_RESP","ITEM_1","ITEM_2","ITEM_3","ITEM_4","ITEM_5","ITEM_6"
"1",4,4,1,3,6,1
"2",7,7,7,7,4,7
"3",6,4,1,4,6,3
"4",7,4,6,4,7,4
"5",5,6,4,4,1,6
"6",4,5,2,4,5,4
"7",5,3,3,2,5,3
"8",6,4,4,4,7,3
"9",6,7,6,4,6,4
"10",7,6,5,4,5,6
"11",3,1,6,3,4,2
"12",4,6,1,4,5,4
"13",6,4,4,3,6,4
"14",5,5,4,4,7,4
"15",7,4,4,6,5,4
"16",7,7,6,6,7,7
"17",7,6,3,5,5,3
"18",6,5,5,6,7,5
"19",6,5,4,1,6,5
"20",7,6,5,6,7,5
"21",3,1,1,1,3,3
"22",4,2,3,4,4,1
"23",4,3,3,3,4,4
"24",6,5,5,7,7,6
"25",5,1,3,3,1,5
"26",5,3,6,5,5,5
"27",6,4,4,7,4,4
"28",4,1,1,1,1,4
"29",6,5,4,6,5,6
"30",6,5,5,4,5,4
"31",6,6,7,4,6,6
"32",5,6,5,4,6,6
"33",6,5,6,6,6,6
"34",6,4,4,3,4,4
"35",5,5,4,3,5,4
"36",5,5,6,4,4,5
"37",6,4,3,4,4,4
"38",4,2,6,4,5,5
"39",6,5,7,4,5,7
"40",6,4,3,4,3,1
"41",3,1,1,3,4,3
"42",7,6,4,6,4,7
"43",6,5,5,4,4,4
"44",6,3,4,3,5,4
"45",6,5,3,4,7,5
"46",4,4,6,2,6,4
"47",7,6,7,6,6,6
"48",5,2,4,5,4,4
"49",3,6,4,6,5,6
"50",6,5,7,5,4,6
"51",6,6,6,6,7,6
"52",3,6,4,6,4,5
"53",6,3,4,4,4,4
"54",5,6,4,3,5,4
"55",4,6,6,4,4,4
"56",5,4,3,4,6,1
"57",6,5,5,5,6,5
"58",6,6,6,4,6,7
"59",3,4,3,4,4,3
"60",5,3,4,4,5,6
"61",7,4,6,6,7,4
"62",4,4,4,5,5,6
"63",5,5,4,3,4,4
"64",7,7,6,5,7,4
"65",5,5,4,2,5,4
"66",6,5,6,5,6,6
"67",4,6,7,5,5,4
"68",6,6,4,4,6,5
"69",3,4,6,6,4,4
"70",4,3,2,2,3,3
"71",5,6,6,4,6,3
"72",5,5,4,3,6,5
"73",7,5,5,4,6,6
"74",4,4,4,5,7,7
"75",4,4,4,4,5,4
"76",7,4,7,4,6,5
"77",6,4,6,6,6,6
"78",5,3,2,5,7,4
"79",4,3,2,1,4,2
"80",7,6,6,4,6,5
"81",6,6,6,6,6,6
"82",6,4,3,2,3,1
"83",6,3,4,4,4,2
"84",6,4,4,5,4,7
"85",6,6,3,4,7,6
"86",6,5,5,4,5,4
"87",5,5,3,4,6,6
"88",6,3,4,4,7,6
"89",2,3,4,5,7,2
"90",5,2,3,3,3,1
"91",6,7,6,7,6,6
"92",6,6,4,7,6,6
"93",5,4,4,4,4,4
"94",7,3,3,1,4,2
"95",6,6,7,6,6,6
"96",5,5,2,3,4,5
"97",4,2,1,1,3,1
"98",6,6,7,4,5,6
"99",1,3,4,4,5,2
"100",4,4,3,3,6,4
"101",4,4,6,3,5,4
"102",5,4,5,4,4,3
"103",4,3,1,1,2,4
"104",4,5,3,5,7,4
"105",6,5,6,6,7,5
"106",6,3,1,4,7,4
"107",6,6,4,4,6,4
"108",5,2,7,4,7,4
"109",6,5,7,6,7,6
"110",7,6,4,4,5,6
"111",6,3,4,2,6,4
"112",4,5,4,6,6,4
"113",3,3,6,6,4,3
"114",7,6,7,5,7,4
"115",4,6,4,6,7,1
"116",5,4,6,2,4,6
"117",6,2,3,2,4,4
"118",7,6,7,6,6,7
"119",3,1,1,1,2,2
"120",3,4,7,4,6,4
"121",7,6,6,5,6,5
"122",7,6,4,4,7,5
"123",6,2,4,4,4,4
"124",4,2,2,2,3,4
"125",5,5,6,6,6,5
"126",5,3,2,4,6,5
"127",6,5,6,1,7,6
"128",5,5,3,6,5,4
"129",5,6,4,4,6,7
"130",4,1,4,6,4,4
"131",7,5,4,6,6,6
"132",4,7,6,6,6,7
"133",6,6,4,3,6,5
"134",4,6,6,5,6,6
"135",1,5,3,3,5,4
"136",4,4,4,3,6,6
"137",6,6,5,5,6,4
"138",4,5,4,3,4,6
"139",6,4,3,7,6,4
"140",6,5,6,4,6,4
"141",7,6,4,6,6,7
"142",6,5,5,4,7,6
"143",6,4,1,1,5,4
"144",4,3,6,5,2,5
"145",5,6,4,6,5,4
"146",7,6,5,3,7,5
"147",7,4,5,2,4,5
"148",7,6,6,6,6,7
"149",4,6,5,3,7,4
"150",4,5,4,7,3,4
"151",3,4,1,4,4,4
"152",5,7,4,2,5,6
"153",5,6,5,6,6,4
"154",6,5,4,4,6,4
"155",6,6,5,5,5,3
"156",6,3,4,5,3,4
"157",4,4,5,6,6,6
"158",6,6,4,3,4,3
"159",6,5,4,2,4,3
"160",4,4,4,3,4,3
"161",7,7,7,4,4,6
"162",3,2,1,1,3,2
"163",5,3,4,4,5,3
"164",6,6,4,3,6,5
"165",4,3,1,4,4,4
"166",1,4,3,3,4,1
"167",4,7,3,6,5,6
"168",4,6,4,4,6,6
"169",7,3,6,4,6,4
"170",5,5,4,6,6,4
"171",7,6,6,6,7,7
"172",5,4,4,4,6,6
"173",5,3,3,3,4,3
"174",4,4,4,2,3,4
"175",5,6,6,5,6,5
"176",6,6,7,6,7,7
"177",5,5,4,5,6,4
"178",5,2,2,6,4,1
"179",6,6,6,6,7,6
"180",6,5,4,4,5,3
"181",6,4,6,4,6,5
"182",6,5,1,4,5,4
"183",6,4,4,4,6,5
"184",6,4,4,4,4,4
"185",6,3,6,3,6,3
"186",4,7,6,6,6,7
"187",1,5,4,7,6,6
"188",5,6,4,5,6,6
"189",4,6,5,3,5,4
"190",2,1,2,4,4,4
"191",6,6,6,6,5,4
"192",6,7,5,6,6,6
"193",4,5,3,4,2,6
"194",4,4,4,3,6,5
"195",6,6,6,4,7,5
"196",6,3,5,2,6,5
"197",6,6,6,4,7,5
"198",3,1,1,4,2,2
"199",4,4,6,6,4,4
"200",1,4,2,1,2,3
"201",5,6,5,6,5,6
"202",5,6,5,4,5,5
"203",4,4,4,4,6,2
"204",5,7,5,5,5,6
"205",7,5,5,5,5,6
"206",6,6,4,4,7,4
"207",7,5,4,4,7,4
"208",7,7,7,7,6,7
"209",6,4,6,7,6,6
"210",7,4,2,3,4,6
"211",6,4,4,3,6,1
"212",6,6,5,6,7,6
"213",7,6,4,4,4,6
"214",5,4,1,4,4,4
"215",6,6,6,4,6,4
"216",6,5,2,4,4,4
"217",7,6,3,5,6,7
"218",6,5,4,6,6,4
"219",7,6,7,6,6,6
"220",6,4,5,5,7,6
"221",4,6,4,5,5,2
"222",6,7,5,1,7,3
"223",5,6,4,6,7,6
"224",3,4,3,3,5,3
"225",6,6,6,4,7,4
"226",4,3,4,2,6,3
"227",7,7,6,5,6,6
"228",4,2,4,1,4,5
"229",6,4,5,4,7,5
